biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0009605	http://purl.obolibrary.org/obo/UBERON_0010709	http://purl.obolibrary.org/obo/UPHENO_0071142
http://purl.obolibrary.org/obo/GO_0008152	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071157
http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/UBERON_0001682	http://purl.obolibrary.org/obo/UPHENO_0071158
http://purl.obolibrary.org/obo/GO_0009987	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071162
http://purl.obolibrary.org/obo/GO_0019748	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071163
http://purl.obolibrary.org/obo/GO_1901615	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071166
http://purl.obolibrary.org/obo/GO_0042440	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071168
http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/UBERON_0004382	http://purl.obolibrary.org/obo/UPHENO_0071169
http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/UBERON_0003690	http://purl.obolibrary.org/obo/UPHENO_0071171
http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/UBERON_0001075	http://purl.obolibrary.org/obo/UPHENO_0071172
http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/UBERON_0000975	http://purl.obolibrary.org/obo/UPHENO_0071177
