anatomical_entity	location	shape	defined_class
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0003640	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082142
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0003640	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082143
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003622	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082144
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003864	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082145
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003622	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082146
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003864	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082147
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003624	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082149
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003865	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082151
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003865	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082152
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004330	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082156
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004336	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082157
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003625	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082158
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003625	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082159
http://purl.obolibrary.org/obo/UBERON_0000009	http://purl.obolibrary.org/obo/UBERON_0001833	http://purl.obolibrary.org/obo/PATO_0001786	http://purl.obolibrary.org/obo/UPHENO_0082160
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004337	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082162
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004332	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082164
