defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0139952	callus formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_1990110	callus formation
http://purl.obolibrary.org/obo/ZP_0012389	camera-type eye photoreceptor cell differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060219	camera-type eye photoreceptor cell differentiation
http://purl.obolibrary.org/obo/ZP_0101251	cardiac muscle cell myoblast differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060379	cardiac muscle cell myoblast differentiation
http://purl.obolibrary.org/obo/ZP_0003735	cardiac muscle progenitor cell migration to the midline involved in heart field formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003261	cardiac muscle progenitor cell migration to the midline involved in heart field formation
http://purl.obolibrary.org/obo/ZP_0017761	cardioblast cell midline fusion delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003317	cardioblast cell midline fusion
http://purl.obolibrary.org/obo/ZP_0000193	cardioblast migration delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003260	cardioblast migration
http://purl.obolibrary.org/obo/ZP_0104732	cardioblast migration to the midline involved in heart field formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060975	cardioblast migration to the midline involved in heart field formation
http://purl.obolibrary.org/obo/ZP_0007751	cartilage development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0051216	cartilage development
http://purl.obolibrary.org/obo/ZP_0014300	cartilage development involved in endochondral bone morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060351	cartilage development involved in endochondral bone morphogenesis
http://purl.obolibrary.org/obo/ZP_0017920	caudal fin development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0033336	caudal fin development
http://purl.obolibrary.org/obo/ZP_0142577	cell division delayed, abnormal	http://purl.obolibrary.org/obo/GO_0051301	cell division
http://purl.obolibrary.org/obo/ZP_0007702	cell migration delayed, abnormal	http://purl.obolibrary.org/obo/GO_0016477	cell migration
http://purl.obolibrary.org/obo/ZP_0000343	cell migration in diencephalon delayed, abnormal	http://purl.obolibrary.org/obo/GO_0061381	cell migration in diencephalon
http://purl.obolibrary.org/obo/ZP_0001811	cell migration involved in gastrulation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0042074	cell migration involved in gastrulation
